source,target,distance
entry_1,entry_1,0
Kim2024,Kim2024,0
Thida2025,Thida2025,0
Ru2025,Ru2025,0
Chen2024,Chen2024,0
Zhu2025,Zhu2025,0
Vishnumolakala2024,Vishnumolakala2024,0
Zhao2024,Zhao2024,0
Sandu2025,Sandu2025,0
Xia2025,Xia2025,0
Jiao2025,Jiao2025,0
Guo2021,Guo2021,0
Davlatova2025,Davlatova2025,0
Schimanke2024,Schimanke2024,0
Dewan2025,Dewan2025,0
Contreras2024,Contreras2024,0
Hong2021,Hong2021,0
Ciampi2025,Ciampi2025,0
Huang2024,Huang2024,0
Zhang2025,Zhang2025,0
Yang2025,Yang2025,0
GuillnYparrea2024,GuillnYparrea2024,0
Li2025,Li2025,0
Xu2024,Xu2024,0
Lo2024,Lo2024,0
Christou2024,Christou2024,0
Zhang2009,Zhang2009,0
Xue2020,Xue2020,0
McMaster2010,McMaster2010,0
Saenboonsong2024,Saenboonsong2024,0
Handayani2022,Handayani2022,0
Wang2023,Wang2023,0
Liao2017,Liao2017,0
Zhou2023,Zhou2023,0
Koh2014,Koh2014,0
Miller2013,Miller2013,0
Vlahovi2023,Vlahovi2023,0
Liu2022,Liu2022,0
Ahmadi2012,Ahmadi2012,0
Chen2021,Chen2021,0
Swaid2019,Swaid2019,0
Yu2019,Yu2019,0
Liu2014,Liu2014,0
Repenning2016,Repenning2016,0
Dehbozorgi2024,Dehbozorgi2024,0
Zhao2022,Zhao2022,0
Nakamura2019,Nakamura2019,0
Stella2021,Stella2021,0
Karaka2020,Karaka2020,0
Deng2009,Deng2009,0
AbdelRahem2025,AbdelRahem2025,0
Qi2025,Qi2025,0
Wong2025,Wong2025,0
Hurbans2020,Hurbans2020,0
MoralesChan2024,MoralesChan2024,0
Misra2023,Misra2023,0
Han2025,Han2025,0
Li2024,Li2024,0
Ning2024,Ning2024,0
Joskowicz2024,Joskowicz2024,0
MoranoOkuno2024,MoranoOkuno2024,0
Leong2025,Leong2025,0
Desconocido2024,Desconocido2024,0
Qian2024,Qian2024,0
Lin2025,Lin2025,0
Zheng2025,Zheng2025,0
MuozMandujano2023,MuozMandujano2023,0
Hang2025,Hang2025,0
Bonde2024,Bonde2024,0
Liu2025,Liu2025,0
Kong2024,Kong2024,0
Wan2025,Wan2025,0
Basha2024,Basha2024,0
Ma2025,Ma2025,0
Rosenthal2025,Rosenthal2025,0
Filiz2025,Filiz2025,0
Chen2025,Chen2025,0
Khlaif2025,Khlaif2025,0
Singh2025,Singh2025,0
Cingillioglu2024,Cingillioglu2024,0
Memarian2024,Memarian2024,0
Mahala2025,Mahala2025,0
Krishnamoorthy2025,Krishnamoorthy2025,0
Fenta2025,Fenta2025,0
Ren2025,Ren2025,0
Zhang2024,Zhang2024,0
Kim2025,Kim2025,0
Tekin2025,Tekin2025,0
Wang2025,Wang2025,0
Sami2025,Sami2025,0
Tomeschek2024,Tomeschek2024,0
Zha2025,Zha2025,0
KohenVacs2025,KohenVacs2025,0
Lan2025,Lan2025,0
Pandey2025,Pandey2025,0
Viet2025,Viet2025,0
Casebourne2024,Casebourne2024,0
Dong2025,Dong2025,0
Xu2025,Xu2025,0
Khamis2025,Khamis2025,0
Ang2025,Ang2025,0
Wieczorek2025,Wieczorek2025,0
Mishra2025,Mishra2025,0
Viberg2024,Viberg2024,0
Daher2025,Daher2025,0
Arpaci2025,Arpaci2025,0
Duan2025,Duan2025,0
Hopson2025,Hopson2025,0
Rahman2025,Rahman2025,0
Zhou2025,Zhou2025,0
Du2025,Du2025,0
Thurzo2025,Thurzo2025,0
Bohara2024,Bohara2024,0
Wu2025,Wu2025,0
Qian2025,Qian2025,0
Meng2025,Meng2025,0
Su2024,Su2024,0
Reyes2025,Reyes2025,0
Kalim2025,Kalim2025,0
Yusoff2025,Yusoff2025,0
Bellas2024,Bellas2024,0
Berson2025,Berson2025,0
Pellesi2025,Pellesi2025,0
II2025,II2025,0
Greengrass2024,Greengrass2024,0
Altafi2024,Altafi2024,0
AlLabadi2025,AlLabadi2025,0
Maxwell2025,Maxwell2025,0
Dabis2024,Dabis2024,0
Sun2025,Sun2025,0
Zamir2025,Zamir2025,0
Usher2025,Usher2025,0
Bian2025,Bian2025,0
Rezigalla2024,Rezigalla2024,0
Black2025,Black2025,0
Campino2024,Campino2024,0
HemminkiReijonen2025,HemminkiReijonen2025,0
Yan2024,Yan2024,0
Khan2025,Khan2025,0
Abuadas2025,Abuadas2025,0
Brusilovsky2023,Brusilovsky2023,0
Biagini2025,Biagini2025,0
Wang2024,Wang2024,0
Wang2024,Bottino2024,1.4285714285714286
Wang2024,Nichelatti2025,1.4285714285714286
Wang2024,Lee2025,1.4285714285714286
Wang2024,Moghaddam2024,1.4285714285714286
Wang2024,Abbas2025,1.4285714285714286
Wang2024,Robinson2025,1.4285714285714286
Yu2025,Yu2025,0
McGrath2024,McGrath2024,0
FeldmanMaggor2024,FeldmanMaggor2024,0
Paudel2025,Paudel2025,0
Yu2024,Yu2024,0
Dixon2025,Dixon2025,0
Akolekar2025,Akolekar2025,0
Bayaga2024,Bayaga2024,0
Lund2025,Lund2025,0
Baxmann2025,Baxmann2025,0
Chugh2025,Chugh2025,0
Mulaudzi2025,Mulaudzi2025,0
Bahmani2025,Bahmani2025,0
Mouta2025,Mouta2025,0
Kohnke2025,Kohnke2025,0
Kohnke2025,Qamar2025,1.4285714285714286
Sivasakthi2025,Sivasakthi2025,0
Vukovi2024,Vukovi2024,0
Peters2024,Peters2024,0
Zhong2025,Zhong2025,0
Nygren2025,Nygren2025,0
Anik2024,Anik2024,0
Abdullah2025,Abdullah2025,0
Saarela2025,Saarela2025,0
Lee2024,Lee2024,0
Ltourneau2025,Ltourneau2025,0
Akapnar2024,Akapnar2024,0
BergerEstilita2025,BergerEstilita2025,0
Narciso2024,Narciso2024,0
Humble2024,Humble2024,0
S2025,S2025,0
Wu2024,Wu2024,0
Sarkar2025,Sarkar2025,0
Rismanchian2025,Rismanchian2025,0
Tongchai2025,Tongchai2025,0
Machidon2025,Machidon2025,0
Balkir2025,Balkir2025,0
Chance2025,Chance2025,0
Sabic2024,Sabic2024,0
Dai2024,Dai2024,0
Uckelmann2025,Uckelmann2025,0
Delcker2024,Delcker2024,0
Karimova2024,Karimova2024,0
Blahopoulou2025,Blahopoulou2025,0
Busch2024,Busch2024,0
McLean2025,McLean2025,0
He2025,He2025,0
Ursava2025,Ursava2025,0
Michalik2025,Michalik2025,0
Hong2024,Hong2024,0
Labadze2023,Labadze2023,0
Yim2024,Yim2024,0
Strzelecki2024,Strzelecki2024,0
Shen2025,Shen2025,0
Meinlschmidt2025,Meinlschmidt2025,0
Takefuji2025,Takefuji2025,0
Saqr2024,Saqr2024,0
Cheng2025,Cheng2025,0
Cheng2025,Gupta2025,1.4285714285714286
Cheng2025,Papajorgji2025,1.4285714285714286
Cheng2025,Mutambara2025,1.5740594994490793
Cheng2025,Sanmugam2025,1.6048788316482105
Cai2024,Cai2024,0
Omeh2024,Omeh2024,0
Lee2025,Lee2025,0
Lee2025,Bottino2024,1.4285714285714286
Lee2025,Nichelatti2025,1.4285714285714286
Lee2025,Wang2024,1.4285714285714286
Lee2025,Moghaddam2024,1.4285714285714286
Lee2025,Abbas2025,1.4285714285714286
Lee2025,Robinson2025,1.4285714285714286
Cheung2024,Cheung2024,0
Mantulenko2025,Mantulenko2025,0
Ouyang2023,Ouyang2023,0
Almuhanna2024,Almuhanna2024,0
Kalaitzidis2025,Kalaitzidis2025,0
Tubella2023,Tubella2023,0
Pitas2025,Pitas2025,0
Heil2025,Heil2025,0
Palmquist2025,Palmquist2025,0
Mahade2025,Mahade2025,0
Umer2025,Umer2025,0
Katona2025,Katona2025,0
Krause2025,Krause2025,0
Theodorio2024,Theodorio2024,0
Alnsour2025,Alnsour2025,0
Atchley2024,Atchley2024,0
Kuzu2025,Kuzu2025,0
Khadri2024,Khadri2024,0
MA2024,MA2024,0
Jensen2024,Jensen2024,0
Dadson2025,Dadson2025,0
Yan2025,Yan2025,0
Ferraioli2026,Ferraioli2026,0
Fathi2025,Fathi2025,0
Trajkovski2025,Trajkovski2025,0
CarrascoAguilar2026,CarrascoAguilar2026,0
Voultsiou2025,Voultsiou2025,0
Li2023,Li2023,0
Nagumo2025,Nagumo2025,0
Durgungoz2025,Durgungoz2025,0
AlZahrani2025,AlZahrani2025,0
Abdelazim2025,Abdelazim2025,0
Castells2025,Castells2025,0
Yusuf2025,Yusuf2025,0
Law2025,Law2025,0
