source,target,path_len,path
entry_1,entry_1,1,"[""entry_1""]"
Kim2024,Kim2024,1,"[""Kim2024""]"
Thida2025,Thida2025,1,"[""Thida2025""]"
Ru2025,Ru2025,1,"[""Ru2025""]"
Chen2024,Chen2024,1,"[""Chen2024""]"
Zhu2025,Zhu2025,1,"[""Zhu2025""]"
Vishnumolakala2024,Vishnumolakala2024,1,"[""Vishnumolakala2024""]"
Zhao2024,Zhao2024,1,"[""Zhao2024""]"
Sandu2025,Sandu2025,1,"[""Sandu2025""]"
Xia2025,Xia2025,1,"[""Xia2025""]"
Jiao2025,Jiao2025,1,"[""Jiao2025""]"
Guo2021,Guo2021,1,"[""Guo2021""]"
Davlatova2025,Davlatova2025,1,"[""Davlatova2025""]"
Schimanke2024,Schimanke2024,1,"[""Schimanke2024""]"
Dewan2025,Dewan2025,1,"[""Dewan2025""]"
Contreras2024,Contreras2024,1,"[""Contreras2024""]"
Hong2021,Hong2021,1,"[""Hong2021""]"
Ciampi2025,Ciampi2025,1,"[""Ciampi2025""]"
Huang2024,Huang2024,1,"[""Huang2024""]"
Zhang2025,Zhang2025,1,"[""Zhang2025""]"
Yang2025,Yang2025,1,"[""Yang2025""]"
GuillnYparrea2024,GuillnYparrea2024,1,"[""GuillnYparrea2024""]"
Li2025,Li2025,1,"[""Li2025""]"
Xu2024,Xu2024,1,"[""Xu2024""]"
Lo2024,Lo2024,1,"[""Lo2024""]"
Christou2024,Christou2024,1,"[""Christou2024""]"
Zhang2009,Zhang2009,1,"[""Zhang2009""]"
Xue2020,Xue2020,1,"[""Xue2020""]"
McMaster2010,McMaster2010,1,"[""McMaster2010""]"
Saenboonsong2024,Saenboonsong2024,1,"[""Saenboonsong2024""]"
Handayani2022,Handayani2022,1,"[""Handayani2022""]"
Wang2023,Wang2023,1,"[""Wang2023""]"
Liao2017,Liao2017,1,"[""Liao2017""]"
Zhou2023,Zhou2023,1,"[""Zhou2023""]"
Koh2014,Koh2014,1,"[""Koh2014""]"
Miller2013,Miller2013,1,"[""Miller2013""]"
Vlahovi2023,Vlahovi2023,1,"[""Vlahovi2023""]"
Liu2022,Liu2022,1,"[""Liu2022""]"
Ahmadi2012,Ahmadi2012,1,"[""Ahmadi2012""]"
Chen2021,Chen2021,1,"[""Chen2021""]"
Swaid2019,Swaid2019,1,"[""Swaid2019""]"
Yu2019,Yu2019,1,"[""Yu2019""]"
Liu2014,Liu2014,1,"[""Liu2014""]"
Repenning2016,Repenning2016,1,"[""Repenning2016""]"
Dehbozorgi2024,Dehbozorgi2024,1,"[""Dehbozorgi2024""]"
Zhao2022,Zhao2022,1,"[""Zhao2022""]"
Nakamura2019,Nakamura2019,1,"[""Nakamura2019""]"
Stella2021,Stella2021,1,"[""Stella2021""]"
Karaka2020,Karaka2020,1,"[""Karaka2020""]"
Deng2009,Deng2009,1,"[""Deng2009""]"
AbdelRahem2025,AbdelRahem2025,1,"[""AbdelRahem2025""]"
Qi2025,Qi2025,1,"[""Qi2025""]"
Wong2025,Wong2025,1,"[""Wong2025""]"
Hurbans2020,Hurbans2020,1,"[""Hurbans2020""]"
MoralesChan2024,MoralesChan2024,1,"[""MoralesChan2024""]"
Misra2023,Misra2023,1,"[""Misra2023""]"
Han2025,Han2025,1,"[""Han2025""]"
Li2024,Li2024,1,"[""Li2024""]"
Ning2024,Ning2024,1,"[""Ning2024""]"
Joskowicz2024,Joskowicz2024,1,"[""Joskowicz2024""]"
MoranoOkuno2024,MoranoOkuno2024,1,"[""MoranoOkuno2024""]"
Leong2025,Leong2025,1,"[""Leong2025""]"
Desconocido2024,Desconocido2024,1,"[""Desconocido2024""]"
Qian2024,Qian2024,1,"[""Qian2024""]"
Lin2025,Lin2025,1,"[""Lin2025""]"
Zheng2025,Zheng2025,1,"[""Zheng2025""]"
MuozMandujano2023,MuozMandujano2023,1,"[""MuozMandujano2023""]"
Hang2025,Hang2025,1,"[""Hang2025""]"
Bonde2024,Bonde2024,1,"[""Bonde2024""]"
Liu2025,Liu2025,1,"[""Liu2025""]"
Kong2024,Kong2024,1,"[""Kong2024""]"
Wan2025,Wan2025,1,"[""Wan2025""]"
Basha2024,Basha2024,1,"[""Basha2024""]"
Ma2025,Ma2025,1,"[""Ma2025""]"
Rosenthal2025,Rosenthal2025,1,"[""Rosenthal2025""]"
Filiz2025,Filiz2025,1,"[""Filiz2025""]"
Chen2025,Chen2025,1,"[""Chen2025""]"
Khlaif2025,Khlaif2025,1,"[""Khlaif2025""]"
Singh2025,Singh2025,1,"[""Singh2025""]"
Cingillioglu2024,Cingillioglu2024,1,"[""Cingillioglu2024""]"
Memarian2024,Memarian2024,1,"[""Memarian2024""]"
Mahala2025,Mahala2025,1,"[""Mahala2025""]"
Krishnamoorthy2025,Krishnamoorthy2025,1,"[""Krishnamoorthy2025""]"
Fenta2025,Fenta2025,1,"[""Fenta2025""]"
Ren2025,Ren2025,1,"[""Ren2025""]"
Zhang2024,Zhang2024,1,"[""Zhang2024""]"
Kim2025,Kim2025,1,"[""Kim2025""]"
Tekin2025,Tekin2025,1,"[""Tekin2025""]"
Wang2025,Wang2025,1,"[""Wang2025""]"
Sami2025,Sami2025,1,"[""Sami2025""]"
Tomeschek2024,Tomeschek2024,1,"[""Tomeschek2024""]"
Zha2025,Zha2025,1,"[""Zha2025""]"
KohenVacs2025,KohenVacs2025,1,"[""KohenVacs2025""]"
Lan2025,Lan2025,1,"[""Lan2025""]"
Pandey2025,Pandey2025,1,"[""Pandey2025""]"
Viet2025,Viet2025,1,"[""Viet2025""]"
Casebourne2024,Casebourne2024,1,"[""Casebourne2024""]"
Dong2025,Dong2025,1,"[""Dong2025""]"
Xu2025,Xu2025,1,"[""Xu2025""]"
Khamis2025,Khamis2025,1,"[""Khamis2025""]"
Ang2025,Ang2025,1,"[""Ang2025""]"
Wieczorek2025,Wieczorek2025,1,"[""Wieczorek2025""]"
Mishra2025,Mishra2025,1,"[""Mishra2025""]"
Viberg2024,Viberg2024,1,"[""Viberg2024""]"
Daher2025,Daher2025,1,"[""Daher2025""]"
