component_id,node,component_size
1,Lee2025,7
1,Abbas2025,7
1,Moghaddam2024,7
1,Wang2024,7
1,Robinson2025,7
1,Nichelatti2025,7
1,Bottino2024,7
2,Cheng2025,5
2,Sanmugam2025,5
2,Gupta2025,5
2,Papajorgji2025,5
2,Mutambara2025,5
3,Kova2024,4
3,Solanki2024,4
3,Banh2023,4
3,Carnahan2025,4
4,Ferragina2024,3
4,Suri2022,3
4,Srinivasa2022,3
5,Jo2024,3
5,Daungsupawong2024,3
5,Mohamed2024,3
6,Kohnke2025,2
6,Qamar2025,2
7,Broley2023,2
7,Broley2024,2
8,Aydodu2024,2
8,Kaya2024,2
9,Schreiner2026,2
9,Schreiner2021,2
10,Tamborg2024,2
10,Tamborg2023,2
11,Schulz2021,2
11,Schulz2022,2
12,Wangenheim2024,2
12,Wangenheim2023,2
13,Ayele2024,2
13,Bevendorff2024,2
14,Bordas2024,2
14,Bordas2025,2
15,Oliveira2026,2
15,Santos2025,2
16,entry_1,1
17,Kim2024,1
18,Thida2025,1
19,Ru2025,1
20,Chen2024,1
21,Zhu2025,1
22,Vishnumolakala2024,1
23,Zhao2024,1
24,Sandu2025,1
25,Xia2025,1
26,Jiao2025,1
27,Guo2021,1
28,Davlatova2025,1
29,Schimanke2024,1
30,Dewan2025,1
31,Contreras2024,1
32,Hong2021,1
33,Ciampi2025,1
34,Huang2024,1
35,Zhang2025,1
36,Yang2025,1
37,GuillnYparrea2024,1
38,Li2025,1
39,Xu2024,1
40,Lo2024,1
41,Christou2024,1
42,Zhang2009,1
43,Xue2020,1
44,McMaster2010,1
45,Saenboonsong2024,1
46,Handayani2022,1
47,Wang2023,1
48,Liao2017,1
49,Zhou2023,1
50,Koh2014,1
51,Miller2013,1
52,Vlahovi2023,1
53,Liu2022,1
54,Ahmadi2012,1
55,Chen2021,1
56,Swaid2019,1
57,Yu2019,1
58,Liu2014,1
59,Repenning2016,1
60,Dehbozorgi2024,1
61,Zhao2022,1
62,Nakamura2019,1
63,Stella2021,1
64,Karaka2020,1
65,Deng2009,1
66,AbdelRahem2025,1
67,Qi2025,1
68,Wong2025,1
69,Hurbans2020,1
70,MoralesChan2024,1
71,Misra2023,1
72,Han2025,1
73,Li2024,1
74,Ning2024,1
75,Joskowicz2024,1
76,MoranoOkuno2024,1
77,Leong2025,1
78,Desconocido2024,1
79,Qian2024,1
80,Lin2025,1
81,Zheng2025,1
82,MuozMandujano2023,1
83,Hang2025,1
84,Bonde2024,1
85,Liu2025,1
86,Kong2024,1
87,Wan2025,1
88,Basha2024,1
89,Ma2025,1
90,Rosenthal2025,1
91,Filiz2025,1
92,Chen2025,1
93,Khlaif2025,1
94,Singh2025,1
95,Cingillioglu2024,1
96,Memarian2024,1
97,Mahala2025,1
98,Krishnamoorthy2025,1
99,Fenta2025,1
100,Ren2025,1
101,Zhang2024,1
102,Kim2025,1
103,Tekin2025,1
104,Wang2025,1
105,Sami2025,1
106,Tomeschek2024,1
107,Zha2025,1
108,KohenVacs2025,1
109,Lan2025,1
110,Pandey2025,1
111,Viet2025,1
112,Casebourne2024,1
113,Dong2025,1
114,Xu2025,1
115,Khamis2025,1
116,Ang2025,1
117,Wieczorek2025,1
118,Mishra2025,1
119,Viberg2024,1
120,Daher2025,1
121,Arpaci2025,1
122,Duan2025,1
123,Hopson2025,1
124,Rahman2025,1
125,Zhou2025,1
126,Du2025,1
127,Thurzo2025,1
128,Bohara2024,1
129,Wu2025,1
130,Qian2025,1
131,Meng2025,1
132,Su2024,1
133,Reyes2025,1
134,Kalim2025,1
135,Yusoff2025,1
136,Bellas2024,1
137,Berson2025,1
138,Pellesi2025,1
139,II2025,1
140,Greengrass2024,1
141,Altafi2024,1
142,AlLabadi2025,1
143,Maxwell2025,1
144,Dabis2024,1
145,Sun2025,1
146,Zamir2025,1
147,Usher2025,1
148,Bian2025,1
149,Rezigalla2024,1
150,Black2025,1
151,Campino2024,1
152,HemminkiReijonen2025,1
153,Yan2024,1
154,Khan2025,1
155,Abuadas2025,1
156,Brusilovsky2023,1
157,Biagini2025,1
158,Yu2025,1
159,McGrath2024,1
160,FeldmanMaggor2024,1
161,Paudel2025,1
162,Yu2024,1
163,Dixon2025,1
164,Akolekar2025,1
165,Bayaga2024,1
166,Lund2025,1
167,Baxmann2025,1
168,Chugh2025,1
169,Mulaudzi2025,1
170,Bahmani2025,1
171,Mouta2025,1
172,Sivasakthi2025,1
173,Vukovi2024,1
174,Peters2024,1
175,Zhong2025,1
176,Nygren2025,1
177,Anik2024,1
178,Abdullah2025,1
179,Saarela2025,1
180,Lee2024,1
181,Ltourneau2025,1
182,Akapnar2024,1
183,BergerEstilita2025,1
184,Narciso2024,1
185,Humble2024,1
186,S2025,1
187,Wu2024,1
188,Sarkar2025,1
189,Rismanchian2025,1
190,Tongchai2025,1
191,Machidon2025,1
192,Balkir2025,1
193,Chance2025,1
194,Sabic2024,1
195,Dai2024,1
196,Uckelmann2025,1
197,Delcker2024,1
198,Karimova2024,1
199,Blahopoulou2025,1
200,Busch2024,1
201,McLean2025,1
202,He2025,1
203,Ursava2025,1
204,Michalik2025,1
205,Hong2024,1
206,Labadze2023,1
207,Yim2024,1
208,Strzelecki2024,1
209,Shen2025,1
210,Meinlschmidt2025,1
211,Takefuji2025,1
212,Saqr2024,1
213,Cai2024,1
214,Omeh2024,1
215,Cheung2024,1
216,Mantulenko2025,1
217,Ouyang2023,1
218,Almuhanna2024,1
219,Kalaitzidis2025,1
220,Tubella2023,1
221,Pitas2025,1
222,Heil2025,1
223,Palmquist2025,1
224,Mahade2025,1
225,Umer2025,1
226,Katona2025,1
227,Krause2025,1
228,Theodorio2024,1
229,Alnsour2025,1
230,Atchley2024,1
231,Kuzu2025,1
232,Khadri2024,1
233,MA2024,1
234,Jensen2024,1
235,Dadson2025,1
236,Yan2025,1
237,Ferraioli2026,1
238,Fathi2025,1
239,Trajkovski2025,1
240,CarrascoAguilar2026,1
241,Voultsiou2025,1
242,Li2023,1
243,Nagumo2025,1
244,Durgungoz2025,1
245,AlZahrani2025,1
246,Abdelazim2025,1
247,Castells2025,1
248,Yusuf2025,1
249,Law2025,1
250,Hennekeuser2024,1
251,Coelho2025,1
252,Shahzad2025,1
253,Zheng2024,1
254,Semenov2024,1
255,Kitaguchi2024,1
256,Memarian2023,1
