year,journal,count
2009,unknown,2
2010,unknown,1
2012,unknown,1
2013,unknown,1
2014,unknown,2
2016,unknown,1
2017,unknown,1
2019,unknown,3
2020,Journal for STEM Education Research,4
2020,unknown,3
2020,Educational Technology Research and Development,3
2020,Journal of Science Education and Technology,3
2020,International Journal of Technology and Design Education,3
2020,Science & Education,2
2020,Curriculum Perspectives,2
2020,Journal of Computers in Education,2
2020,Education and Information Technologies,1
2021,Education and Information Technologies,19
2021,Educational Technology Research and Development,9
2021,unknown,8
2021,Journal of Science Education and Technology,8
2021,Journal of Computers in Education,6
2021,Science & Education,4
2021,Early Childhood Education Journal,4
2021,"Technology, Knowledge and Learning",4
2021,Journal for STEM Education Research,3
2021,International Journal of Technology and Design Education,3
2021,Current Psychology,3
2021,Computer Supported Education,3
2021,Nature,3
2021,International Journal of Science and Mathematics Education,2
2021,Disciplinary and Interdisciplinary Science Education Research,2
2021,Expanding Global Horizons Through Technology Enhanced Language Learning,2
2021,Journal of New Approaches in Educational Research,2
2021,Mathematical Modelling Education in East and West,2
2021,Intelligent Human Computer Interaction,2
2021,Research on E-Learning and ICT in Education,2
2021,Formal Methods in Architecture,2
2021,HCI International 2021 - Late Breaking Posters,2
2021,Texts & Monographs in Symbolic Computation,2
2021,International Handbook of Comparative Large-Scale Studies in Education,1
2021,npj Science of Learning,1
2022,Education and Information Technologies,49
2022,KI - Künstliche Intelligenz,16
2022,"Technology, Knowledge and Learning",15
2022,Educational technology research and development,10
2022,ZDM – Mathematics Education,10
2022,Journal of Science Education and Technology,8
2022,TechTrends,8
2022,Innovative Technologies and Learning,8
2022,Scientific Reports,8
2022,Instructional Science,4
2022,Robotics in Education,4
2022,Augmented Cognition,4
2022,"Digital Transformation of Education and Learning - Past, Present and Future",4
2022,ICT Education,4
2022,Kompetenzmodelle für den Digitalen Wandel,4
2022,Intelligent Human Computer Interaction,4
2022,The Palgrave Encyclopedia of the Possible,4
2022,AI & SOCIETY,4
2022,Handbook of Security Science,4
2022,unknown,3
2022,International Journal of STEM Education,3
2022,Journal of Computers in Education,3
2022,"Design, Learning, and Innovation",3
2022,International Handbook of Comparative Large-Scale Studies in Education,3
2022,New Thinking in GIScience,3
2022,Mathematical Competencies in the Digital Era,3
2022,Synthese,3
2022,Architectural Intelligence,3
2022,Orchestration of Learning Environments in the Digital World,3
2022,Biomedical Engineering Education,3
2022,Soft Computing,3
2022,European Journal of Psychology of Education,2
2022,Science & Education,2
2022,International Journal of Educational Technology in Higher Education,2
2022,Discover Education,2
2022,Journal of Mathematics Teacher Education,2
2022,"Learning, Teaching, and Assessment Methods for Contemporary Learners",2
2022,Early Childhood Education Journal,2
2022,Journal for STEM Education Research,2
2022,International Journal of Artificial Intelligence in Education,2
2022,Research and Practice in Technology Enhanced Learning,2
2022,Journal of Computing in Higher Education,2
2022,Practical AI for Healthcare Professionals,2
2022,Children’s Creative Inquiry in STEM,2
2022,Digital Experiences in Mathematics Education,2
2022,STEM Education in the Early Years,2
2022,"Machine Learning, Image Processing, Network Security and Data Sciences",2
2022,Informatics in Schools. A Step Beyond Digital Education,2
2022,Educating for a New Future: Making Sense of Technology-Enhanced Learning Adoption,2
2022,Information Technology and Systems,2
2022,Advances in Quantitative Ethnography,2
2022,"Technology and Innovation in Learning, Teaching and Education",2
2022,Learning with Technologies and Technologies in Learning,2
2022,The Role of Digital Technologies in Shaping the Post-Pandemic World,2
2022,"Social Computing and Social Media: Design, User Experience and Impact",2
2022,Mobility for Smart Cities and Regional Development - Challenges for Higher Education,2
2022,Bulletin of Earthquake Engineering,2
2022,Molecular Psychiatry,2
2022,"STEM, Robotics, Mobile Apps in Early Childhood and Primary Education",2
2022,Cognitive Processing,2
2022,Research in the Mathematical Sciences,2
2022,Bioinformatics and Computational Biology,2
2022,Nexus Network Journal,2
2022,Text Mining for Information Professionals,2
2022,International Journal of Research in Undergraduate Mathematics Education,2
2022,npj Regenerative Medicine,2
2022,Systemic Functional Insights on Language and Linguistics,2
2022,Pilot and Feasibility Studies,2
2022,[ ] With Design: Reinventing Design Modes,2
2022,The European Physical Journal H,2
2022,The Science of Learning,2
2022,Integrated Education and Learning,2
2022,SN Social Sciences,2
2022,Applied Intelligence,2
2022,Journal of the Knowledge Economy,2
2022,International Journal of Technology and Design Education,1
2022,Journal of the Korean Physical Society,1
2022,Archives of Computational Methods in Engineering,1
2022,Artificial Intelligence Review,1
2022,Current Psychology,1
2022,e-Infrastructure and e-Services for Developing Countries,1
2023,Education and Information Technologies,76
2023,Teaching Coding in K-12 Schools,20
2023,TechTrends,16
2023,Lecture Notes in Computer Science,15
2023,Journal of Science Education and Technology,14
2023,Educational technology research and development,14
2023,"Learning, Design, and Technology",10
2023,unknown,9
2023,Scientific Reports,8
2023,International Journal of STEM Education,8
2023,Journal for STEM Education Research,7
2023,International Journal of Science and Mathematics Education,7
2023,Educational Studies in Mathematics,7
2023,Innovative Technologies and Learning,7
2023,International Journal of Technology and Design Education,6
2023,Perspectives and Trends in Education and Technology,6
2023,Robotics in Education,6
2023,Philosophical Studies,6
2023,Minds and Machines,6
2023,Irish Journal of Medical Science (1971 -),6
2023,International Journal of Artificial Intelligence in Education,5
2023,International Journal of Educational Technology in Higher Education,5
2023,Computer Science and Education,5
2023,Handbook of Computational Social Science for Policy,5
2023,Smart Learning Environments,4
2023,Early Childhood Education Journal,4
2023,Digital Experiences in Mathematics Education,4
2023,ZDM – Mathematics Education,4
2023,Handbook of Digital Resources in Mathematics Education,4
2023,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 12th International Conference",4
2023,HCI International 2023 Posters,4
2023,Higher Education Learning Methodologies and Technologies Online,4
2023,Learning in the Age of Digital and Green Transition,4
2023,Informatics in Schools. Beyond Bits and Bytes: Nurturing Informatics Intelligence in Education,4
2023,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 13th International Conference",4
2023,Intelligent Sustainable Systems,4
2023,Journal of New Approaches in Educational Research,4
2023,Nature Machine Intelligence,4
2023,AI & SOCIETY,3
2023,Journal of Computers in Education,3
2023,Proceedings TEEM 2022: Tenth International Conference on Technological Ecosystems for Enhancing Multiculturality,3
2023,Die Zukunft des MINT-Lernens – Band 1,3
2023,Advances in Quantitative Ethnography,3
2023,Applying the Science of Learning to Education,3
2023,Humanities and Social Sciences Communications,3
2023,Computational Intelligence,3
2023,GPS Solutions,3
2023,Innovative Approaches to Technology-Enhanced Learning for the Workplace and Higher Education,3
2023,Machine Learning Contests: A Guidebook,3
2023,Environmental Science and Pollution Research,3
2023,Journal of Family Violence,3
2023,Neural Computing and Applications,3
2023,Review of Managerial Science,3
2023,Industrial Artificial Intelligence,3
2023,Doklady Mathematics,3
2023,"Journal of Anesthesia, Analgesia and Critical Care",3
2023,Journal of Materials Science,3
2023,JMST Advances,3
2023,International Journal for Educational Integrity,3
