doi                       , autor, revista, apellido, pais
10.1007/s12144-025-07433-7,      ,        ,         , TR
10.1007/s00431-025-06435-8,      ,        ,         , TR
10.1007/s00163-024-00441-x,      ,        ,         , FR
10.1007/s12525-023-00680-1,      ,        ,         , DE
10.1007/s10639-024-13236-3,      ,        ,         , CN
10.1007/s11042-024-20016-1,      ,        ,         , IN
10.1007/s11042-024-20016-1,      ,        ,         , GB
10.1007/s10462-024-10973-2,      ,        ,         , GB
10.1007/s11301-024-00469-2,      ,        ,         , DE
10.1007/s13347-025-00863-y,      ,        ,         , DE
10.1007/s40620-024-02165-6,      ,        ,         , US
10.1007/s10143-024-02514-w,      ,        ,         , US
10.1007/s41959-023-00099-x,      ,        ,         , US
10.1007/s41959-023-00099-x,      ,        ,         , GB
10.1007/s10639-025-13410-1,      ,        ,         , KR
10.1007/s11528-025-01129-2,      ,        ,         , US
10.1007/s00146-024-02007-w,      ,        ,         , IT
10.1007/s44217-024-00289-2,      ,        ,         , ZA
10.1007/s10551-024-05741-9,      ,        ,         , AU
10.1007/s10551-024-05741-9,      ,        ,         , FR
10.1007/s10209-024-01116-z,      ,        ,         , KR
10.1007/s10916-024-02136-1,      ,        ,         , PK
10.1007/s10916-024-02136-1,      ,        ,         , US
10.1007/s11528-024-01024-2,      ,        ,         , US
10.1007/s40670-024-02078-w,      ,        ,         , JP
10.1007/s44223-024-00066-z,      ,        ,         , CN
10.1007/s00146-024-02129-1,      ,        ,         , US
10.1007/s40979-025-00201-x,      ,        ,         , GB
10.1007/s40979-025-00201-x,      ,        ,         , CA
10.1007/s11858-024-01629-0,      ,        ,         , KR
10.1007/s11858-024-01629-0,      ,        ,         , US
10.1007/s11528-023-00911-4,      ,        ,         , US
10.1007/s10956-024-10148-2,      ,        ,         , CN
10.1007/s10956-024-10148-2,      ,        ,         , CY
10.1007/s11145-025-10699-9,      ,        ,         , NO
10.1007/s11145-025-10699-9,      ,        ,         , US
10.1007/s11145-025-10699-9,      ,        ,         , NL
10.1007/s11528-023-00913-2,      ,        ,         , US
10.1007/s11920-023-01477-x,      ,        ,         , US
10.1007/s11528-023-00913-2,      ,        ,         , US
10.1007/s10639-025-13420-z,      ,        ,         , CN
10.1007/s10956-024-10177-x,      ,        ,         , US
10.1007/s11423-025-10495-w,      ,        ,         , CN
10.1007/s40670-024-02218-2,      ,        ,         , US
10.1007/s10639-024-12936-0,      ,        ,         , ID
10.1007/s10639-024-12936-0,      ,        ,         , US
10.1007/s10639-024-12936-0,      ,        ,         , AU
10.1007/s10639-024-12936-0,      ,        ,         , LB
10.1007/s10639-024-12936-0,      ,        ,         , GB
10.1007/s10639-024-12936-0,      ,        ,         , CA
10.1007/s10956-024-10175-z,      ,        ,         , US
10.1007/s10956-024-10175-z,      ,        ,         , FI
10.1007/s42001-024-00250-1,      ,        ,         , US
10.1007/s10956-024-10104-0,      ,        ,         , AU
10.1007/s13132-024-02152-z,      ,        ,         , MO
10.1007/s00586-025-09052-z,      ,        ,         , US
10.1007/s40670-025-02289-9,      ,        ,         , CA
10.1007/s10845-024-02480-6,      ,        ,         , US
10.1007/s10278-025-01628-x,      ,        ,         , US
10.1007/s10278-025-01628-x,      ,        ,         , IL
10.1007/s42979-024-03307-0,      ,        ,         , IN
10.1007/s40979-024-00149-4,      ,        ,         , GB
10.1007/s38314-023-1564-3 ,      ,        ,         , DE
10.1007/s43545-023-00818-0,      ,        ,         , TH
10.1007/s43545-023-00818-0,      ,        ,         , IN
10.1007/s40368-025-01012-x,      ,        ,         , GR
10.1007/s40368-025-01012-x,      ,        ,         , AE
10.1007/s40368-025-01012-x,      ,        ,         , CY
10.1007/s44217-025-00603-6,      ,        ,         , GH
10.1007/s10639-023-12405-0,      ,        ,         , AU
10.1007/s11191-024-00508-0,      ,        ,         , AU
10.1007/s11606-024-09102-0,      ,        ,         , US
10.1007/s10796-024-10562-2,      ,        ,         , US
10.1007/s10639-024-12835-4,      ,        ,         , CN
10.1007/s11191-024-00534-y,      ,        ,         , US
10.1007/s40692-024-00333-y,      ,        ,         , TH
10.1007/s40692-024-00333-y,      ,        ,         , EG
10.1007/s40692-024-00333-y,      ,        ,         , CN
10.1007/s40692-024-00333-y,      ,        ,         , BD
10.1007/s11145-025-10702-3,      ,        ,         , NO
10.1007/s11145-025-10702-3,      ,        ,         , US
10.1007/s00259-025-07091-8,      ,        ,         , AT
10.1007/s00259-025-07091-8,      ,        ,         , PT
